2021-11-12 00:24:20.286,write C2M_REQ_DEVICE_INIT
2021-11-12 00:24:20.308,read C2M_ACK_DEVICE_INIT
2021-11-12 00:24:21.430,read unknown_message
2021-11-12 12:00:46.591,write C2M_REQ_DEVICE_INIT
2021-11-12 12:00:46.600,read C2M_ACK_DEVICE_INIT
2021-11-12 12:00:46.944,read unknown_message
2021-11-12 12:35:59.023,write C2M_REQ_DEVICE_INIT
2021-11-12 12:35:59.045,read C2M_ACK_DEVICE_INIT
2021-11-12 12:35:59.320,read unknown_message
2021-11-12 15:20:06.993,write C2M_REQ_DEVICE_INIT
2021-11-12 15:20:07.006,read C2M_ACK_DEVICE_INIT
2021-11-12 15:20:07.728,read unknown_message
2021-11-12 16:16:10.746,write C2M_REQ_DEVICE_INIT
2021-11-12 16:16:10.753,read C2M_ACK_DEVICE_INIT
2021-11-12 16:16:11.866,read unknown_message
