2021-11-10 14:53:19.007,write _SPaT (6590)
2021-11-10 14:53:19.033,write _SPaT (6590)
2021-11-10 14:53:19.164,write _RTCM (892)
2021-11-10 14:53:19.546,write _SPaT (6590)
2021-11-10 14:53:19.614,write _SPaT (6590)
2021-11-10 14:53:19.632,write _SPaT (6590)
2021-11-10 14:53:19.733,write _MAP (99611)
2021-11-10 14:53:19.761,write _SPaT (6590)
2021-11-10 14:53:19.962,write _SPaT (6590)
2021-11-10 14:53:20.155,write _RTCM (890)
2021-11-10 14:53:20.158,write _SPaT (6590)
2021-11-10 14:53:20.373,write _SPaT (6590)
2021-11-10 14:53:20.598,write _SPaT (6588)
2021-11-10 14:53:20.632,write _MAP (99611)
2021-11-10 14:53:20.747,write _SPaT (6588)
2021-11-10 14:53:21.412,write _SPaT (6588)
2021-11-10 14:53:21.412,write _RTCM (990)
2021-11-10 14:53:21.413,write _SPaT (6588)
2021-11-10 14:53:21.416,write _SPaT (6588)
2021-11-10 14:53:21.697,write _SPaT (6582)
2021-11-10 14:53:21.779,write _MAP (99611)
2021-11-10 14:53:21.997,write _SPaT (6582)
2021-11-10 14:53:22.018,write _SPaT (6582)
2021-11-10 14:53:22.138,write _RTCM (890)
2021-11-10 14:53:22.565,write _SPaT (6582)
2021-11-10 14:53:22.566,write _SPaT (6582)
2021-11-10 14:53:22.622,write _SPaT (6606)
2021-11-10 14:53:22.664,write _MAP (99611)
2021-11-10 14:53:22.792,write _SPaT (6606)
2021-11-10 14:53:23.033,write _SPaT (6606)
2021-11-10 14:53:23.136,write _RTCM (890)
2021-11-10 14:53:23.342,write _SPaT (6606)
2021-11-10 14:53:23.657,write _SPaT (6606)
2021-11-10 14:53:23.868,write _SPaT (6606)
2021-11-10 14:53:23.910,write _MAP (99611)
2021-11-10 14:53:24.149,write _RTCM (890)
2021-11-10 14:53:24.205,write _SPaT (6606)
2021-11-10 14:53:24.236,write _SPaT (6606)
2021-11-10 14:53:24.477,write _SPaT (6606)
2021-11-10 14:53:24.488,write _SPaT (6606)
2021-11-10 14:53:24.638,write _SPaT (6606)
2021-11-10 14:53:24.702,write _MAP (99611)
2021-11-10 14:53:24.821,write _SPaT (6606)
2021-11-10 14:53:25.008,write _SPaT (6606)
2021-11-10 14:53:25.149,write _RTCM (212)
2021-11-10 14:54:22.405,write _RTCM (931)
2021-11-10 14:54:22.953,write _MAP (99611)
2021-11-10 14:54:22.974,write _SPaT (6608)
2021-11-10 14:54:23.025,write _SPaT (6608)
